airport_name,total_flights,delayed_flights,percentage_delayed
"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",59,11,18.64406779661017
"Ashland, WV: Tri-State/Milton J. Ferguson Field",27,5,18.51851851851852
"Charlottesville, VA: Charlottesville Albemarle",546,101,18.4981684981685
"Springfield, MO: Springfield-Branson National",660,122,18.484848484848484
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",23742,4385,18.469379159295762
"Fort Wayne, IN: Fort Wayne International",586,108,18.43003412969283
"San Francisco, CA: San Francisco International",13484,2472,18.332838920201723
"Jackson, WY: Jackson Hole",443,81,18.284424379232505
"Newburgh/Poughkeepsie, NY: New York Stewart International",115,21,18.26086956521739
"Asheville, NC: Asheville Regional",752,137,18.21808510638298
"Vernal, UT: Vernal Regional",44,8,18.181818181818183
